subject_id,workflow_id,task,reducer,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.gold_standard,data.user_ids,data.aggregation_version
50614411,16423,T2,text_reducer,"[['4.', ''], ['No', 'No'], ['person', 'person'], ['of', 'of'], ['any', 'any'], ['race', 'race'], ['other', 'other'], ['than', 'than'], ['the', 'the'], ['white', 'white'], ['race', 'race'], ['shall', 'shall'], ['use', 'use'], ['or', 'or'], ['occupy', 'occupy'], ['any', 'any'], ['building', 'building'], ['on', 'on'], ['above', 'above'], ['lot,', 'lot,'], ['except', 'except'], ['', 'that'], ['this', 'this'], ['covenant', 'covenant'], ['shall', 'shall'], ['not', 'not'], ['prevent', 'prevent'], ['occupancy', 'occupancy'], ['by', 'by'], ['domestic', 'domestic'], ['servants', 'servants'], ['of', 'of'], ['a', 'a'], ['different', 'different'], ['race', 'race'], ['domiciled', 'domiciled'], ['with', 'with'], ['owner', 'owner'], ['or', 'or'], ['tenant.', 'tenant.']]",2.0,1.95,"4. No person of any race other than the white race shall use or occupy any building on above lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with owner or tenant.","[False, False]","[2418206.0, 2465206.0]",3.6.0
50614411,16423,T4,text_reducer,,,,,,,3.6.0
50614417,16423,T2,text_reducer,"[['This'], ['property'], ['shall'], ['not'], ['be'], ['sold'], ['to'], ['anyone'], ['for'], ['the'], ['purpose'], ['of'], ['a'], ['home'], ['other'], ['than'], ['a'], ['member'], ['of'], ['the'], ['white'], ['race.']]",1.0,1.0,This property shall not be sold to anyone for the purpose of a home other than a member of the white race.,[False],[2149765.0],3.6.0
50614417,16423,T4,text_reducer,,,,,,,3.6.0
50614418,16423,T2,text_reducer,"[['This'], ['property'], ['is'], ['restricted'], ['to'], ['members'], ['of'], ['the'], ['white'], ['race.']]",1.0,1.0,This property is restricted to members of the white race.,[False],[2352207.0],3.6.0
50614418,16423,T4,text_reducer,,,,,,,3.6.0
50614421,16423,T2,text_reducer,"[['of'], ['interment'], ['of'], ['the'], ['dead'], ['of'], ['the'], ['white'], ['race'], ['in:.'], ['shall'], ['not'], ['libe'], ['sold'], ['or'], ['conveyed'], ['to'], ['any'], ['person'], ['or'], ['persons'], ['of'], ['African'], ['descent,'], ['nor'], ['shall'], ['any'], ['portion'], ['of'], ['said'], ['lot.S.'], ['be'], ['used'], ['for'], ['the'], ['burial'], ['of'], ['any'], ['person'], ['of'], ['African'], ['descent;'], ['and'], ['in'], ['event'], ['of'], ['the'], ['violation'], ['of'], ['this'], ['condition,'], ['the'], ['right'], ['of'], ['interment'], ['in'], ['said'], ['lotS'], ['shall'], ['thereupon'], ['revert'], ['to'], ['and'], ['become'], ['e-vested'], ['in'], ['the'], ['first'], ['party,'], ['its'], ['successors'], ['or'], ['assigns.']]",1.0,1.0,"of interment of the dead of the white race in:. shall not libe sold or conveyed to any person or persons of African descent, nor shall any portion of said lot.S. be used for the burial of any person of African descent; and in event of the violation of this condition, the right of interment in said lotS shall thereupon revert to and become e-vested in the first party, its successors or assigns.",[False],[2465205.0],3.6.0
50614421,16423,T4,text_reducer,,,,,,,3.6.0
50614422,16423,T2,text_reducer,,,,,,,3.6.0
50614422,16423,T4,text_reducer,"[['Reference'], ['to'], ['colored'], ['church'], ['lot'], ['in'], ['the'], ['legal']]",1.0,1.0,Reference to colored church lot in the legal,[False],[nan],3.6.0
50614423,16423,T2,text_reducer,,,,,,,3.6.0
50614423,16423,T4,text_reducer,,,,,,,3.6.0
50614425,16423,T2,text_reducer,"[['And'], ['second'], ['party'], ['as'], ['evidenced'], ['by'], ['the'], ['acceptance'], ['of'], ['this'], ['indenture,'], ['expressly'], ['agrees'], ['..as'], ['a'], ['part'], ['of'], ['the'], ['consideration'], ['for'], ['this'], ['conveyance,'], ['that'], ['said'], ['property'], ['shall'], ['be'], ['used'], ['solely'], ['as'], ['a'], ['place'], ['for'], ['the'], ['burial'], ['of'], ['the'], ['dead'], ['of'], ['the'], ['white'], ['race,'], ['and'], ['that'], ['right'], ['of'], ['interment'], ['in'], ['lot.........,'], ['or'], ['any'], ['part'], ['thereof,'], ['shall'], ['not'], ['be'], ['sold'], ['or'], ['conveyed'], ['to'], ['any'], ['person'], ['or'], ['persons'], ['of'], ['African'], ['descent,'], ['nor'], ['shall'], ['and'], ['portion'], ['of'], ['said'], ['lot....be'], ['used'], ['for'], ['the'], ['burial'], ['of'], ['any'], ['person'], ['of'], ['African'], ['descent;'], ['and'], ['in'], ['event'], ['of'], ['the'], ['violation'], ['of'], ['this'], ['condition,'], ['the'], ['right'], ['of'], ['interment'], ['in'], ['said'], ['lot....shall'], ['thereupon'], ['revert'], ['to'], ['and'], ['become'], ['vested'], ['in'], ['the'], ['first'], ['party,'], ['its'], ['successors'], ['or'], ['assigns.']]",1.0,1.0,"And second party as evidenced by the acceptance of this indenture, expressly agrees ..as a part of the consideration for this conveyance, that said property shall be used solely as a place for the burial of the dead of the white race, and that right of interment in lot........., or any part thereof, shall not be sold or conveyed to any person or persons of African descent, nor shall and portion of said lot....be used for the burial of any person of African descent; and in event of the violation of this condition, the right of interment in said lot....shall thereupon revert to and become vested in the first party, its successors or assigns.",[False],[2293010.0],3.6.0
50614425,16423,T4,text_reducer,"[['August'], ['8,'], ['1950.'], ['$'], ['10']]",1.0,1.0,"August 8, 1950. $ 10",[False],[2293010.0],3.6.0
50614427,16423,T2,text_reducer,"[['The'], ['lot'], ['hereby'], ['conveyed'], ['shall'], ['not'], ['be'], ['sold,'], ['transferred,'], ['conveyed,'], ['leased,'], ['or'], ['rented'], ['to'], ['persons'], ['of'], ['Negro'], ['blood,'], ['provided'], ['that'], ['this'], ['shall'], ['not'], ['be'], ['construed'], ['to'], ['prevent'], ['the'], ['living'], ['upon'], ['the'], ['premises'], ['of'], ['any'], ['Negro'], ['servant'], ['or'], ['servants'], ['whose'], ['time'], ['shall'], ['be'], ['employed'], ['for'], ['domestic'], ['purposes'], ['only'], ['by'], ['the'], ['owner'], ['or'], ['tenant'], ['thereof.']]",1.0,1.0,"The lot hereby conveyed shall not be sold, transferred, conveyed, leased, or rented to persons of Negro blood, provided that this shall not be construed to prevent the living upon the premises of any Negro servant or servants whose time shall be employed for domestic purposes only by the owner or tenant thereof.",[False],[2468673.0],3.6.0
50614427,16423,T4,text_reducer,,,,,,,3.6.0
50614438,16423,T2,text_reducer,"[['7.'], ['The'], ['lot'], ['hereby'], ['conveyed'], ['shall'], ['not'], ['be'], ['sold,'], ['transferred,'], ['conveyed,'], ['leased,'], ['or'], ['rented'], ['to'], ['persons'], ['of'], ['Negro'], ['blood,'], ['provided'], ['that'], ['this'], ['shall'], ['not'], ['be'], ['construed'], ['to'], ['prevent'], ['the'], ['living'], ['upon'], ['the'], ['premises'], ['of'], ['any'], ['Negro'], ['servant'], ['or'], ['servants'], ['whose'], ['time'], ['shall'], ['be'], ['employed'], ['for'], ['domestic'], ['purposes'], ['only'], ['by'], ['the'], ['owner'], ['or'], ['tenant'], ['thereof.']]",1.0,1.0,"7. The lot hereby conveyed shall not be sold, transferred, conveyed, leased, or rented to persons of Negro blood, provided that this shall not be construed to prevent the living upon the premises of any Negro servant or servants whose time shall be employed for domestic purposes only by the owner or tenant thereof.",[False],[2465209.0],3.6.0
50614438,16423,T4,text_reducer,,,,,,,3.6.0
50614440,16423,T2,text_reducer,"[['And'], ['second'], ['part'], ['as'], ['evidenced'], ['by'], ['the'], ['acceptance'], ['of'], ['this'], ['indenture,'], ['expressly'], ['agree'], ['as'], ['a'], ['part'], ['of'], ['the'], ['con-'], ['sideration'], ['for'], ['this'], ['conveyance,'], ['that'], ['said'], ['property'], ['shall'], ['be'], ['used'], ['solely'], ['as'], ['a'], ['place'], ['for'], ['the'], ['burial'], ['of'], ['the'], ['dead'], ['of'], ['the'], ['white'], ['race,'], ['and'], ['that'], ['right'], ['of'], ['interment'], ['in'], ['lot'], ['or'], ['any'], ['part'], ['thereof,'], ['shall'], ['not'], ['lbe'], ['sold'], ['or'], ['conveyed'], ['to'], ['any'], ['person'], ['or'], ['persons'], ['of'], ['African'], ['descent,'], ['nor'], ['shall'], ['any'], ['portion'], ['of'], ['said'], ['lot'], ['be'], ['used'], ['for'], ['the'], ['burial'], ['of'], ['any'], ['person'], ['of'], ['African'], ['descent;'], ['and'], ['in'], ['event'], ['of'], ['the'], ['violation'], ['of'], ['this'], ['condition,'], ['the'], ['right'], ['of'], ['interment'], ['in'], ['said'], ['lot'], ['shall'], ['thereupon'], ['revert'], ['to'], ['and'], ['become'], ['vested'], ['in'], ['the'], ['first'], ['party,'], ['its'], ['successors'], ['or'], ['assigns.']]",1.0,1.0,"And second part as evidenced by the acceptance of this indenture, expressly agree as a part of the con- sideration for this conveyance, that said property shall be used solely as a place for the burial of the dead of the white race, and that right of interment in lot or any part thereof, shall not lbe sold or conveyed to any person or persons of African descent, nor shall any portion of said lot be used for the burial of any person of African descent; and in event of the violation of this condition, the right of interment in said lot shall thereupon revert to and become vested in the first party, its successors or assigns.",[False],[2180620.0],3.6.0
50614440,16423,T4,text_reducer,"[['this'], ['is'], ['for'], ['gravesites']]",1.0,1.0,this is for gravesites,[False],[2180620.0],3.6.0
50614446,16423,T2,text_reducer,,,,,,,3.6.0
50614446,16423,T4,text_reducer,,,,,,,3.6.0
50614447,16423,T2,text_reducer,"[['It', '""It'], ['is', 'is'], ['understood', 'understood'], ['and', 'and'], ['agreed', 'agreed'], ['between', 'between'], ['the', 'the'], ['parties', 'parties'], ['hereto', 'hereto'], ['and', 'and'], ['made', 'made'], ['a', 'a'], ['part', 'part'], ['of', 'of'], ['this', 'this'], ['deed', 'deed'], ['that', 'that'], ['the', 'the'], ['lot', 'lot'], ['herein', 'herein'], ['described', 'described'], ['and', 'and'], ['conveyed', 'conveyed'], ['shall', 'shall'], ['never', 'never'], ['be', 'be'], ['owned', 'owned'], ['or', 'or'], ['occupied', 'occupied'], ['by', 'by'], ['a', 'a'], ['colored', 'colored'], ['person,', 'person,'], ['and', 'and'], ['that', 'that'], ['the', 'the'], ['party', 'party'], ['of', 'of'], ['the', 'the'], ['second', 'second'], ['part', 'part'], ['will', 'will'], ['not', 'not'], ['dispose', 'dispose'], ['of', 'of'], ['said', 'said'], ['property', 'property'], ['to', 'to'], ['a', 'a'], ['colored', 'colored'], ['person,', 'person,'], ['See', 'See'], ['deed', 'deed'], ['book', 'book'], ['37', '37'], ['page', 'page'], ['259', '259'], ['for', 'for'], ['further', 'further'], ['reference.', 'reference.""']]",2.0,1.9666666666666666,"It is understood and agreed between the parties hereto and made a part of this deed that the lot herein described and conveyed shall never be owned or occupied by a colored person, and that the party of the second part will not dispose of said property to a colored person, See deed book 37 page 259 for further reference.","[False, False]","[2418206.0, 2171363.0]",3.6.0
50614447,16423,T4,text_reducer,"[['James'], ['Street'], ['1912']]",1.0,1.0,James Street 1912,[False],[2171363.0],3.6.0
50614448,16423,T2,text_reducer,"[['A'], ['lot'], ['or'], ['parcel'], ['of'], ['land'], ['at'], ['the'], ['south'], ['end'], ['of'], ['the'], ['olored'], ['missionary'], ['baptist'], ['church'], ['or'], ['west'], ['durham'], ['on'], ['ferrell'], ['street.']]",1.0,1.0,A lot or parcel of land at the south end of the olored missionary baptist church or west durham on ferrell street.,[False],[nan],3.6.0
50614448,16423,T4,text_reducer,"[['south'], ['end'], ['of'], ['cthe'], ['colored'], ['issionary'], ['baptist'], ['church'], ['or'], ['west'], ['durham'], ['on'], ['ferrell'], ['st.'], ['said'], ['lot'], ['or'], ['land'], ['the'], ['same'], ['width'], ['of'], ['the'], ['present'], ['church'], ['and'], ['18'], ['feet'], ['long'], ['and'], ['adjoining'], ['the'], ['said'], ['church.']]",1.0,1.0,south end of cthe colored issionary baptist church or west durham on ferrell st. said lot or land the same width of the present church and 18 feet long and adjoining the said church.,[False],[nan],3.6.0
50614449,16423,T2,text_reducer,,,,,,,3.6.0
50614449,16423,T4,text_reducer,,,,,,,3.6.0
50614450,16423,T2,text_reducer,,,,,,,3.6.0
50614450,16423,T4,text_reducer,,,,,,,3.6.0
50614452,16423,T2,text_reducer,,,,,,,3.6.0
50614452,16423,T4,text_reducer,,,,,,,3.6.0
50614453,16423,T2,text_reducer,,,,,,,3.6.0
50614453,16423,T4,text_reducer,,,,,,,3.6.0
50614460,16423,T2,text_reducer,,,,,,,3.6.0
50614460,16423,T4,text_reducer,"[['Deed'], ['references'], ['""negro'], ['school'], ['house""'], ['and'], ['""colored'], ['school'], ['house""']]",1.0,1.0,"Deed references ""negro school house"" and ""colored school house""",[False],[2182151.0],3.6.0
50614466,16423,T2,text_reducer,,,,,,,3.6.0
50614466,16423,T4,text_reducer,,,,,,,3.6.0
50614471,16423,T2,text_reducer,"[['It'], ['is'], ['further'], ['understood'], ['and'], ['agreed'], ['that'], ['said'], ['lot'], ['shall'], ['never'], ['be'], ['owned'], ['or'], ['occupied'], ['by'], ['a'], ['colored'], ['person.']]",1.0,1.0,It is further understood and agreed that said lot shall never be owned or occupied by a colored person.,[False],[2293010.0],3.6.0
50614471,16423,T4,text_reducer,"[['$'], ['2250.00,'], ['1918']]",1.0,1.0,"$ 2250.00, 1918",[False],[2293010.0],3.6.0
50614473,16423,T2,text_reducer,"[[';'], ['it'], ['being'], ['distinctly'], ['understood'], ['that'], ['this'], ['lot'], ['is'], ['to'], ['be'], ['used'], ['solely'], ['by'], ['the'], ['party'], ['of'], ['the'], ['second'], ['part'], ['for'], ['a'], ['school'], ['lot'], ['for'], ['children'], ['of'], ['the'], ['white'], ['race,']]",1.0,1.0,"; it being distinctly understood that this lot is to be used solely by the party of the second part for a school lot for children of the white race,",[False],[2418206.0],3.6.0
50614473,16423,T4,text_reducer,,,,,,,3.6.0
50614481,16423,T2,text_reducer,,,,,,,3.6.0
50614481,16423,T4,text_reducer,,,,,,,3.6.0
50614483,16423,T2,text_reducer,"[['It'], ['is'], ['further'], ['understood'], ['and'], ['agreed'], ['that'], ['said'], ['lot'], ['shall'], ['never'], ['be'], ['owned'], ['or'], ['occupied'], ['by'], ['a'], ['colored'], ['person.']]",1.0,1.0,It is further understood and agreed that said lot shall never be owned or occupied by a colored person.,[False],[nan],3.6.0
50614483,16423,T4,text_reducer,,,,,,,3.6.0
50614488,16423,T2,text_reducer,,,,,,,3.6.0
50614488,16423,T4,text_reducer,,,,,,,3.6.0
50614497,16423,T2,text_reducer,"[['It'], ['is'], ['further'], ['understood'], ['and'], ['agreed'], ['that'], ['said'], ['lot'], ['shall'], ['never'], ['be'], ['owned'], ['or'], ['occupied'], ['by'], ['a'], ['colored'], ['person.']]",1.0,1.0,It is further understood and agreed that said lot shall never be owned or occupied by a colored person.,[False],[2171363.0],3.6.0
50614497,16423,T4,text_reducer,"[['Watts'], ['Hillandale']]",1.0,1.0,Watts Hillandale,[False],[2171363.0],3.6.0
50614499,16423,T2,text_reducer,"[['It'], ['is'], ['further'], ['understood'], ['and'], ['agred'], ['that'], ['said'], ['lot'], ['shall'], ['never'], ['be'], ['owned'], ['or'], ['occupied'], ['by'], ['a'], ['colored'], ['person.']]",1.0,1.0,It is further understood and agred that said lot shall never be owned or occupied by a colored person.,[False],[2143993.0],3.6.0
50614499,16423,T4,text_reducer,,,,,,,3.6.0
50614507,16423,T2,text_reducer,,,,,,,3.6.0
50614507,16423,T4,text_reducer,"[['Does'], ['not'], ['appear'], ['to'], ['have'], ['any'], ['racial'], ['covenant']]",1.0,1.0,Does not appear to have any racial covenant,[False],[nan],3.6.0
50614510,16423,T2,text_reducer,,,,,,,3.6.0
50614510,16423,T4,text_reducer,,,,,,,3.6.0
50614514,16423,T2,text_reducer,,,,,,,3.6.0
50614514,16423,T4,text_reducer,"[['public'], ['auction'], ['sale'], ['$'], ['2900.00'], ['1926.'], ['For'], ['land'], ['sold'], ['to'], ['North'], ['Carolina'], ['College'], ['for'], ['Negros.']]",1.0,1.0,public auction sale $ 2900.00 1926. For land sold to North Carolina College for Negros.,[False],[2293010.0],3.6.0
50614517,16423,T2,text_reducer,"[['As'], ['part'], ['of'], ['the'], ['consideration'], ['hereof'], ['it'], ['is'], ['expressly'], ['understood'], ['and'], ['agreed'], ['by'], ['and'], ['between'], ['the'], ['parties'], ['hereto'], ['that'], ['on'], ['property'], ['or'], ['buildings'], ['shall'], ['be'], ['owned'], ['or'], ['occupied'], ['by'], ['the'], ['colored'], ['race,'], ['except'], ['such'], ['buildings'], ['as'], ['may'], ['be'], ['constructed'], ['by'], ['the'], ['owners'], ['and'], ['residents'], ['of'], ['the'], ['property'], ['for'], ['the'], ['use'], ['of'], ['their'], ['servants.']]",1.0,1.0,"As part of the consideration hereof it is expressly understood and agreed by and between the parties hereto that on property or buildings shall be owned or occupied by the colored race, except such buildings as may be constructed by the owners and residents of the property for the use of their servants.",[False],[2367816.0],3.6.0
50614517,16423,T4,text_reducer,,,,,,,3.6.0
50614520,16423,T2,text_reducer,,,,,,,3.6.0
50614520,16423,T4,text_reducer,"[['Although'], ['no'], ['racial'], ['covenant,'], ['it'], ['does'], ['reference'], ['segregation'], ['because'], ['it'], ['says'], ['""lot'], ['survyed'], ['for'], ['a'], ['colored'], ['school""']]",1.0,1.0,"Although no racial covenant, it does reference segregation because it says ""lot survyed for a colored school""",[False],[nan],3.6.0
50614521,16423,T2,text_reducer,,,,,,,3.6.0
50614521,16423,T4,text_reducer,,,,,,,3.6.0
50614532,16423,T2,text_reducer,"[['As'], ['part'], ['of'], ['the'], ['consideration'], ['of'], ['it'], ['is'], ['expressly'], ['understood'], ['and'], ['agreed'], ['by'], ['and'], ['between'], ['the'], ['parties'], ['here'], ['to'], ['that'], ['no'], ['property'], ['or'], ['building'], ['shall'], ['be'], ['owned'], ['or'], ['occupied'], ['by'], ['the'], ['colored'], ['rate'], ['except'], ['such'], ['buildings,'], ['as'], ['may'], ['be'], ['constructed'], ['by'], ['the'], ['owners'], ['And'], ['residents,'], ['of'], ['the'], ['property'], ['for'], ['use'], ['of'], ['the'], ['their'], ['servants'], ['.']]",1.0,1.0,"As part of the consideration of it is expressly understood and agreed by and between the parties here to that no property or building shall be owned or occupied by the colored rate except such buildings, as may be constructed by the owners And residents, of the property for use of the their servants .",[False],[2418206.0],3.6.0
50614532,16423,T4,text_reducer,,,,,,,3.6.0
50614533,16423,T2,text_reducer,,,,,,,3.6.0
50614533,16423,T4,text_reducer,,,,,,,3.6.0
50614539,16423,T2,text_reducer,"[['NEGRO'], ['CLAUSE--That'], ['for'], ['a'], ['period'], ['of'], ['99'], ['years'], ['the'], ['said'], ['property,'], ['nor'], ['any'], ['part'], ['thereof,'], ['shall'], ['be'], ['sold,'], ['leased'], ['or'], ['otherwise'], ['disposed'], ['of'], ['to'], ['a'], ['person'], ['of'], ['African'], ['descent,'], ['or'], ['to'], ['any'], ['person'], ['or'], ['corporation'], ['for'], ['the'], ['use'], ['of'], ['any'], ['person'], ['of'], ['African'], ['descent,'], ['except'], ['as'], ['a'], ['servant'], ['of'], ['a'], ['white'], ['person.']]",1.0,1.0,"NEGRO CLAUSE--That for a period of 99 years the said property, nor any part thereof, shall be sold, leased or otherwise disposed of to a person of African descent, or to any person or corporation for the use of any person of African descent, except as a servant of a white person.",[False],[2448014.0],3.6.0
50614539,16423,T4,text_reducer,"[['Sunsets'], ['after'], ['99'], ['years.']]",1.0,1.0,Sunsets after 99 years.,[False],[2448014.0],3.6.0
50614549,16423,T2,text_reducer,,,,,,,3.6.0
50614549,16423,T4,text_reducer,"[['i'], ['did'], ['not'], ['find'], ['any'], ['racial'], ['covenants'], ['in'], ['this'], ['deed']]",1.0,1.0,i did not find any racial covenants in this deed,[False],[2365882.0],3.6.0
50614551,16423,T2,text_reducer,,,,,,,3.6.0
50614551,16423,T4,text_reducer,,,,,,,3.6.0
50614553,16423,T2,text_reducer,,,,,,,3.6.0
50614553,16423,T4,text_reducer,,,,,,,3.6.0
